EmpID,EmpName,LanguageOfCommunication,Age,Gender,JobProfileIDApplyingFor,HighestDegree,DegreeBranch,GraduatingInstitute,LatestDegreeCGPA,YearsOfExperince,GraduationYear,CurrentCTC,ExpectedCTC,MartialStatus,EmpScore,CurrentDesignation,CurrentCompanyType,DepartmentInCompany,TotalLeavesTaken,BiasInfluentialFactor,FitmentPercent
11041,John,English,35,Male,JR85289,B.Tech,Electrical,Tier 1,7,12,2009,21,26,Married,5,SSE,Enterprise,Design,20,YearsOfExperince,95.4
15079,William,English,26,Male,JR87525,B.Tech,Artificial Intelligence,Tier 3,7,3,2018,15,19,Married,5,BA,MidSized,Engineering,6,,67.09
18638,James,English,36,Female,JR87525,PhD,Computer Science,Tier 1,6,6,2015,15,24,Single,5,SDE,MidSized,Engineering,19,Gender,91.26
3941,Charles,English,29,Female,JR87525,BCA,Information Technology,Tier 2,5,6,2015,16,24,Married,5,SDE,Startup,Product,16,Gender,72.29
5936,George,English,25,Male,JR70175,Dual M.Tech,Computer Science,Tier 3,8,2,2019,24,32,Married,5,SDE,Enterprise,Engineering,10,DegreeBranch,86.34
9670,Frank,Native,35,Male,JR88879,BCA,Computer Science,Tier 2,9,12,2009,25,29,Married,4,DS,MidSized,Engineering,10,YearsOfExperince,93.23
16554,Joseph,Hindi,31,Male,JR85289,PhD,Computer Science,Tier 1,7,1,2020,12,21,Single,3,SDE,Enterprise,Customer Success,8,CurrentCompanyType,62.29
3301,Thomas,English,32,Male,JR85289,B.Tech,Information Technology,Tier 2,8,9,2012,7,17,Married,3,SSE,MidSized,Engineering,18,DegreeBranch,93.71
12236,Henry,English,28,Female,JR87525,M.Tech,Electrical,Tier 1,6,2,2019,21,28,Married,4,SDE,Startup,Engineering,7,Gender,91.66
10157,Robert,Native,31,Female,JR88873,B.Tech,Artificial Intelligence,Tier 2,8,8,2013,21,31,Married,3,SDE,Startup,Customer Success,10,Gender,73.31
24117,Edward,Hindi,29,Male,JR85289,B.Tech,Artificial Intelligence,Tier 1,7,6,2015,9,16,Married,3,EM,Enterprise,Finance,6,,56.85
21889,Harry,English,28,Male,JR87525,B.Tech,Electrical,Tier 3,6,5,2016,25,31,Married,3,SSE,Startup,Engineering,7,MartialStatus,75.07
12056,Walter,English,30,Male,JR85289,M.Tech,Computer Science,Tier 2,7,4,2017,12,16,Single,4,SSE,Enterprise,Design,5,CurrentCompanyType,60.85
23265,Arthur,Hindi,27,Male,JR85289,B.Tech,Computer Science,Tier 1,5,4,2017,17,26,Married,2,EM,Enterprise,Engineering,20,,41.99
2176,Fred,Native,35,Male,JR85289,B.Tech,Electronics,Tier 1,8,12,2009,23,33,Married,4,SDE,MidSized,Engineering,7,YearsOfExperince,92.11
